Feature,Importance
3d-L1v,0.00041707209497284794
GATS7c,0.0004164633577786514
AATSC7c,0.0004161024075370112
nHdNH,0.00041535124984580784
3d-RDF105u,0.00041346615151650613
SpMax4_Bhe,0.0004122923200722384
sumI,0.0004112032290659595
JGT,0.00041103265724926617
3d-RPCS,0.0004097191195090666
3d-PNSA-1,0.000409180613046356
AATSC4p,0.0004090132871118812
MPC3,0.00040821278800743375
maxHCsatu,0.00040752326085770064
3d-TDB8u,0.0004073327686658468
PubchemFP681,0.00040711632334817783
SHdNH,0.0004063336352453595
SpMax_Dzm,0.000404470317632577
naaaC,0.00040435087892680687
ATS1v,0.0004029081856674388
ATS6p,0.00040055888316417045
MDEC-23,0.0003998396924370318
SpMax5_Bhv,0.0003997382230901403
PubchemFP513,0.00039872632925058715
ETA_dPsi_A,0.0003978599493610124
ATSC3c,0.00039694506293507236
3d-RDF100e,0.00039666547883221437
PubchemFP693,0.0003957299596364039
MWC10,0.00039527854716130405
PubchemFP652,0.0003924116230624386
nBondsS,0.00039187067957761055
C1SP1,0.00039116130427416793
SpMin2_Bhm,0.0003900440182194709
SpMin3_Bhe,0.00038892354710208245
3d-L2v,0.00038786641981636283
AATSC7e,0.000386073607672488
AATS3m,0.00038307151850529574
ndO,0.0003830549691173801
3d-TDB8p,0.00038303233711051154
SpMin6_Bhv,0.0003823488559507204
3d-RDF130i,0.00038218234459950204
AATSC6i,0.0003810741828511599
3d-P2u,0.00038025044935602326
PubchemFP578,0.00037723018120426887
MATS4s,0.0003762175888717523
C2SP2,0.00037582159239178957
SpMin1_Bhm,0.000375352628247394
Sare,0.00037511331672539504
3d-E1s,0.0003749948120669422
SpMin3_Bhi,0.0003749906302694228
3d-RDF145m,0.00037492460740484734
GATS7i,0.0003732219538532089
3d-RDF145u,0.0003710985593405991
3d-Vm,0.00037058208657422267
SssS,0.000370442690060091
3d-RDF95p,0.00036910885866456853
CIC0,0.00036906801303919766
ATS3v,0.0003685262511119336
3d-Ti,0.00036748953059617673
VR1_Dzs,0.0003671342677678324
PubchemFP592,0.00036610050154533
SdNH,0.0003658389300095877
MATS4p,0.0003652530036289736
minHsNH2,0.0003651377252467225
WTPT-5,0.0003633005181052362
MATS2c,0.00036312706163811327
ATSC1c,0.00036299872669558474
PubchemFP358,0.0003625294240248822
AATS4p,0.0003620972513800558
PubchemFP504,0.0003616781105988509
3d-RDF105i,0.00036036926208984357
AVP-7,0.0003601470736864898
nHBint9,0.0003596914754335656
3d-TDB3s,0.0003579225035280964
ATSC0m,0.0003574359572748209
MATS4i,0.00035697899139259804
3d-RDF135m,0.00035648627465409974
ASP-6,0.00035606954618659924
ETA_Eta_L,0.0003560275740523089
PubchemFP308,0.00035476190579240006
PubchemFP695,0.0003547243892932705
PubchemFP18,0.00035456607807271556
3d-Ku,0.000354537611384742
minHBint2,0.00035365581700945724
PubchemFP352,0.0003535736372929477
MDEO-11,0.00035348850338302596
PubchemFP672,0.0003527307569177074
PubchemFP438,0.0003520616753308947
nHBDon_Lipinski,0.000352024055795197
3d-RDF85u,0.0003506887921183699
ATSC1e,0.0003505959190043928
PubchemFP689,0.0003491267843591661
3d-GRAVH-2,0.00034802162921681034
ATSC4e,0.00034618175976349754
MATS4v,0.00034516373131456837
SpMax2_Bhp,0.00034492249003604815
3d-RDF40s,0.0003446891778612904
AATSC6c,0.0003442575725907338
GATS1e,0.00034410603240316864
3d-RDF20s,0.000342877142760889
SpMax5_Bhm,0.0003424624294787515
ATS7i,0.0003423014836567706
MATS5i,0.0003401175928741562
3d-RDF145p,0.0003387155129792374
3d-RDF120v,0.00033806665140077017
LipoaffinityIndex,0.0003353644518142018
maxsssCH,0.0003344880131103567
AATS0p,0.0003343046010254369
GATS5m,0.0003336445196388982
PubchemFP729,0.00033270306130889216
TIC5,0.00033259236076427223
SpMax5_Bhe,0.0003323105527377024
AATS6p,0.00033149314252508557
MATS1e,0.0003302793784183411
PubchemFP431,0.0003298244301441211
ATSC5p,0.00032799034623448575
VP-5,0.0003266717712907763
ETA_Eta,0.0003261206093118418
ATS5m,0.0003245624371073119
BCUTp-1l,0.0003242636051078773
3d-RDF110i,0.0003240071476733997
RotBFrac,0.00032358603876107004
BIC4,0.0003222754263865424
GATS6v,0.00032220890443120933
SpMax5_Bhs,0.0003220880544096305
ETA_EtaP,0.00031971885650412536
3d-P1e,0.00031958935856624127
minssO,0.0003191038751930497
piPC9,0.00031910021382547393
SpMax_Dzv,0.00031898409452487677
ATS6e,0.0003187269098692824
