"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL54523";"";"None";"296.33";"0";"1.81";"53";"COc1ccccc1NCc1ccc2nc(N)nc(N)c2n1";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"23.36";"0.43";"5.11";"6.18";"1";"CHEMBL828662";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL219889";"";"None";"328.37";"0";"1.82";"20";"COc1cc(C(C)C#Cc2cnc(N)nc2N)cc(OC)c1OC";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"16.78";"0.31";"3.69";"5.22";"0";"CHEMBL919380";"Inhibition of Toxoplasma gondii DHFR-TS";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1142238";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";""
"CHEMBL82936";"";"None";"483.53";"0";"4.04";"11";"Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4cc(OCCCCC(=O)O)ccc43)cnc2n1";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"15.88";"0.29";"3.64";"5.01";"0";"CHEMBL664377";"Concentration required to inhibit the Toxoplasma gondii Dihydrofolate reductase by 50% was determined; Range: 20-23";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1149188";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";""
"CHEMBL279914";"";"None";"305.34";"0";"3.15";"42";"Nc1nc(N)c2c(CNc3ccc4ccccc4c3)coc2n1";"IC50";"'='";"38001.44";"nM";"4.42";"";"";"UO_0000065";"14.48";"0.26";"1.27";"4.29";"0";"CHEMBL830839";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL87549";"";"None";"485.95";"0";"4.73";"10j";"CCc1nc(N)nc(N)c1-c1ccc(Cl)c(/N=N/N(CCOC(C)=O)Cc2ccc(F)cc2)c1";"IC50";"'='";"4400.0";"nM";"5.36";"";"";"UO_0000065";"11.02";"0.22";"0.63";"4.06";"0";"CHEMBL664922";"Inhibitory activity against dihydrofolate reductase DHFR in Toxoplasma gondii.";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1134547";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";""
"CHEMBL323359";"";"None";"407.43";"0";"2.49";"25";"CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(N)=O)cc2)c([N+](=O)[O-])c1";"IC50";"'='";"3.7";"nM";"8.43";"";"";"UO_0000065";"20.70";"0.38";"5.94";"4.79";"0";"CHEMBL884350";"Inhibitory activity against Dihydrofolate reductase from Toxoplasma gondii was evaluated using 90 uM dihydrofolic acid as substrate";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130351";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL119";"TRIMETREXATE";"4.0";"369.43";"0";"2.74";"TMQ";"COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"21.65";"0.40";"5.26";"6.81";"1";"CHEMBL665593";"Inhibitory concentration against Toxoplasma gondii Dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130385";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL7492";"PIRITREXIM";"2.0";"325.37";"0";"2.11";"3";"COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"23.88";"0.44";"5.66";"7.12";"1";"CHEMBL884350";"Inhibitory activity against Dihydrofolate reductase from Toxoplasma gondii was evaluated using 90 uM dihydrofolic acid as substrate";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130351";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL7492";"PIRITREXIM";"2.0";"325.37";"0";"2.11";"PTX";"COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1";"IC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"24.46";"0.45";"5.85";"7.29";"0";"CHEMBL665696";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1126886";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";""
"CHEMBL331682";"";"None";"440.32";"0";"3.26";"16a";"COc1cc(NCc2c(Br)sc3nc(N)nc(N)c23)cc(OC)c1OC";"IC50";"'='";"34000.0";"nM";"4.47";"";"";"UO_0000065";"10.15";"0.23";"1.21";"3.80";"0";"CHEMBL665695";"Inhibition of Toxoplasma gondii Dihydrofolate Reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1130226";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
