Descriptor,Importance,Descriptor Type,Description,Class
VE3_Dzp,-8.83768517172534e-05,BaryszMatrixDescriptor,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by polarizabilities,2D
MLFER_S,-8.950290621542178e-05,MLFERDescriptor,Combined dipolarity/polarizability,2D
PubchemFP370,-8.968024459493629e-05,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~H)(:C),FP
minssssC,-9.095515477984816e-05,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: >C<,2D
SpMin3_Bhs,-9.130978730544914e-05,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative I-state,2D
VE2_Dzv,-9.25661051876636e-05,BaryszMatrixDescriptor,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by van der Waals volumes,2D
PubchemFP434,-9.29447208439904e-05,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C(-C)(-H)(=C),FP
PubchemFP359,-9.405378877980208e-05,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~C)(:N)(:N),FP
minHBa,-9.473142241996912e-05,ElectrotopologicalStateAtomTypeDescriptor,Minimum E-States for (strong) Hydrogen Bond acceptors,2D
PubchemFP698,-9.54460029125026e-05,SMARTS patterns,O-C-C-C-C-C-C-C,FP
ATSC6m,-9.635121318332108e-05,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 6 / weighted by mass,2D
TDB10p,-9.69056909330912e-05,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 10 / weighted by polarizabilities,3D
AVP-0,-9.794640754392512e-05,PaDELChiPathDescriptor,"Average valence path, order 0",2D
GATS5e,-9.844593449626073e-05,AutocorrelationDescriptor,Geary autocorrelation - lag 5 / weighted by Sanderson electronegativities,2D
nHBint2,-9.964666660985388e-05,ElectrotopologicalStateAtomTypeDescriptor,Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 2,2D
ATS7p,-0.0001040617301051,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 7 / weighted by polarizabilities,2D
PubchemFP607,-0.0001070830627737,SMARTS patterns,N-C-C-C:C,FP
AATSC1c,-0.0001071059132158,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 1 / weighted by charges,2D
RDF35i,-0.0001076046701016,RDFDescriptor,Radial distribution function - 035 / weighted by relative first ionization potential,3D
RDF115s,-0.0001076815261137,RDFDescriptor,Radial distribution function - 115 / weighted by relative I-state,3D
SpAbs_Dzi,-0.000108359581021,BaryszMatrixDescriptor,Graph energy from Barysz matrix / weighted by first ionization potential,2D
ATS0p,-0.0001096374173853,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 0 / weighted by polarizabilities,2D
VR3_Dt,-0.0001104805900292,DetourMatrixDescriptor,Logarithmic Randic-like eigenvector-based index from detour matrix,2D
AATSC1m,-0.0001114977448126,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 1 / weighted by mass,2D
PubchemFP432,-0.0001118127295377,"Atom Neighborhoods (""-"", ""="", and ""#"" matches a single, double, and triple bond order)",C(-C)(-C)(=O),FP
PubchemFP339,-0.0001119614207776,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~C)(~C)(~H)(~O),FP
ATSC2m,-0.000112907314459,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 2 / weighted by mass,2D
AMW,-0.0001135184600876,PaDELWeightDescriptor,Average molecular weight (Molecular weight / Total number of atoms),2D
AATS6s,-0.0001136189102732,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 6 / weighted by I-state,2D
PubchemFP539,-0.0001136514754123,SMARTS patterns,N=C-C-[#1],FP
VR3_Dzs,-0.0001142697820497,BaryszMatrixDescriptor,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by I-state,2D
TDB5p,-0.0001147108713903,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 5 / weighted by polarizabilities,3D
EE_D,-0.0001151384086149,TopologicalDistanceMatrixDescriptor,Estrada-like index from topological distance matrix,2D
SpMAD_Dze,-0.0001156810391606,BaryszMatrixDescriptor,Spectral mean absolute deviation from Barysz matrix / weighted by Sanderson electronegativities,2D
AATSC4v,-0.0001160576748126,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 4 / weighted by van der Waals volumes,2D
PubchemFP557,-0.0001161247734202,SMARTS patterns,N:C-O-[#1],FP
VP-6,-0.0001188727309027,PaDELChiPathDescriptor,"Valence path, order 6",2D
Ts,-0.0001190879354028,PaDELWHIMDescriptor,T total size index / weighted by relative I-state,3D
