y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test_val,Relative_Error_%
5.755128,6.076469,5.91132,5.9864764,5.771409,5.9001603,6.301029995663981,-6.361970714109432
5.583084,5.336872,5.467272,5.6935735,5.592435,5.5346475,5.158640529545145,7.288876459864638
4.601941,4.385598,4.887962,4.796981,4.6287365,4.6602435,3.880582435427122,20.091341667040627
7.319002,7.4189324,7.4799066,7.553086,7.620035,7.4781923,7.136677139879544,4.7853529427416195
5.347754,5.8470592,5.7878714,5.5903654,5.4262724,5.599865,4.703334809738469,19.061584731795435
6.0523887,5.7374425,5.989692,5.76461,5.476096,5.8040457,5.693789491832239,1.9364289022448542
5.1451573,5.7224083,5.46293,5.215813,5.276881,5.364638,6.031517051446065,-11.05657488891774
7.1286874,7.081116,7.208739,7.2872453,7.3431454,7.209787,7.080921907623926,1.8198899238612212
8.155681,7.933506,8.086961,8.369366,7.9061,8.0903225,8.140261433802854,-0.6134807794826329
7.677375,7.9330397,7.696778,8.186578,7.7231894,7.8433924,6.853871964321762,14.437392658640155
7.5465264,7.582688,7.738079,7.7076836,7.6727037,7.649536,7.552841968657781,1.2802355001729633
4.9325714,4.82369,4.867473,4.5749707,4.765877,4.7929163,4.508638306165727,6.305185123368851
7.5057936,7.504307,7.7615895,7.4266696,7.2420416,7.4880805,7.187086643357144,4.187981488680865
4.8704104,5.199824,4.892408,6.5336304,5.2583666,5.350928,5.568636235841013,-3.9095461954824864
4.5615063,4.7860956,4.874317,4.536231,4.6383114,4.679292,3.9788107009300617,17.605298510483237
6.2465377,6.452656,6.3541694,6.4624205,5.9401093,6.2911787,6.229147988357856,0.995813794537926
6.479762,6.453375,6.454879,5.933,6.0874023,6.281684,6.327902142064283,-0.7303877211230199
6.738793,6.4468594,6.8901834,6.308874,7.1582127,6.708585,6.242603971206976,7.46452628428317
7.7483864,7.666561,7.289746,7.7985754,7.661792,7.6330123,7.459670525209126,2.323718842197814
6.223321,5.7327266,6.214971,6.285172,6.093626,6.1099634,6.040958607678906,1.1422824398532003
6.0691957,6.0602217,5.9097915,5.3869376,5.771471,5.839524,6.795880017344075,-14.072588430585428
5.1376424,4.8656473,4.7546134,4.566618,4.837707,4.832446,4.747146969020107,1.79685040012859
4.8682623,4.9195447,5.0716305,4.8031297,4.6469297,4.8618994,5.177178354696896,-6.089783993926695
